radius_nm,temperature_C,pH,degradation_rate_per_hour,t50_hours,t90_hours,error
200,30,7.0,0.005,13.827655310621243,35.07014028056112,4.204963032276984
250,40,7.4,0.005,14.028056112224448,35.47094188376754,4.392914084682384
150,35,6.0,0.005,13.627254509018035,34.66933867735471,4.418616792703643
250,37,8.0,0.005,14.228456913827655,36.07214428857715,4.971225015160579
200,25,8.0,0.005,13.627254509018035,34.4689378757515,4.992108465427856
200,40,6.5,0.005,13.627254509018035,34.4689378757515,4.992108465427856
200,25,7.4,0.005,14.42885771543086,36.47294589178356,6.123027618362964
250,40,8.0,0.005,13.226452905811623,33.46693386773547,7.920610760599359
150,40,5.5,0.01,14.829659318637274,34.86973947895792,9.284460704977082
200,37,6.5,0.005,14.829659318637274,37.27454909819639,9.63144726326399
150,37,6.0,0.005,13.026052104208418,33.06613226452906,9.660362809787905
250,35,7.4,0.01,14.629258517034067,34.26853707414829,9.910964212995143
200,25,7.0,0.01,14.629258517034067,34.26853707414829,9.910964212995143
150,30,6.0,0.01,14.228456913827655,33.66733466933867,10.4073477616556
250,37,7.0,0.01,15.230460921843687,35.67134268537074,10.543893398018477
200,35,6.5,0.01,14.228456913827655,33.46693386773547,11.382444247211861
250,40,7.0,0.01,14.028056112224448,33.26653306613226,11.584853072879238
250,35,8.0,0.005,15.030060120240481,37.87575150300601,12.699708033301057
250,30,8.0,0.01,15.631262525050099,36.673346693386776,13.639463295328126
250,37,7.4,0.01,13.827655310621243,32.66533066132264,14.46034353275692
250,37,7.4,0.005,15.230460921843687,38.07615230460921,14.746286159493291
250,25,8.0,0.02,15.430861723446894,34.06813627254509,15.50290962686897
250,40,6.5,0.02,15.430861723446894,34.06813627254509,15.50290962686897
250,30,7.0,0.02,15.631262525050099,34.4689378757515,15.530218754141549
200,25,6.5,0.02,15.831663326653306,35.07014028056112,15.546282946654832
250,35,8.0,0.01,13.827655310621243,32.46492985971944,15.837044831145247
200,40,6.0,0.02,15.230460921843687,33.66733466933867,15.877205312428483
150,25,6.5,0.005,12.625250501002002,32.06412825651302,15.882024570182473
300,35,8.0,0.02,15.831663326653306,34.86973947895792,15.959132694246199
300,37,8.0,0.02,15.230460921843687,33.46693386773547,16.852301797984744
300,37,7.4,0.02,16.03206412825651,35.07014028056112,17.122180232207892
200,30,7.4,0.005,12.424849699398797,31.863727454909817,17.289247834346064
300,37,7.0,0.03,15.631262525050099,33.86773547094188,17.732619547712662
300,40,7.4,0.02,14.829659318637274,32.86573146292585,17.830611122043692
200,37,6.0,0.02,16.23246492985972,35.87174348697395,17.93020911562605
250,25,7.4,0.02,16.23246492985972,35.67134268537074,18.021775012951764
300,40,7.0,0.02,16.23246492985972,35.67134268537074,18.021775012951764
300,30,8.0,0.03,16.03206412825651,34.66933867735471,18.028200689957053
300,30,7.0,0.05,15.831663326653306,34.06813627254509,18.41374131027586
150,37,5.5,0.01,16.03206412825651,37.4749498997996,18.43301834129178
250,35,7.0,0.01,16.03206412825651,37.4749498997996,18.43301834129178
250,25,7.0,0.03,16.03206412825651,34.4689378757515,18.60169236268127
350,40,8.0,0.03,16.03206412825651,34.4689378757515,18.60169236268127
300,40,6.5,0.05,15.631262525050099,33.66733466933867,18.627395070702544
